date,Strategy,SP500,Strategy_CumPnL,SP500_CumPnL
2015-03-30,0.004911568512655191,-0.003965394677666545,0.004911568512655191,-0.003965394677666545
2015-03-31,0.001096754256794665,0.0035296573756244953,0.006008322769449856,-0.00043573730204204963
2015-04-01,-0.00148819027071704,0.006608739404729613,0.004520132498732816,0.006173002102687564
2015-04-02,0.0033687831998178972,-0.0020618853995443276,0.007888915698550714,0.004111116703143236
2015-04-06,-0.001964453346756495,0.0026826178882932705,0.005924462351794219,0.006793734591436507
2015-04-07,0.0015301879735123802,0.004457466737115112,0.0074546503253065995,0.011251201328551619
2015-04-08,-0.00242143048115203,0.005202804158417784,0.005033219844154569,0.016454005486969403
2015-04-09,0.004950617276548706,-0.004581220326727142,0.009983837120703276,0.01187278516024226
2015-04-10,0.0026579733679378934,0.0016296841471401535,0.012641810488641169,0.013502469307382414
2015-04-13,0.00995929597182244,0.005148293762882616,0.022601106460463607,0.01865076307026503
2015-04-14,0.0036649023660493604,-0.0007784945624055295,0.02626600882651297,0.0178722685078595
2015-04-15,-0.002477461782329344,-0.01131121763048748,0.023788547044183626,0.006561050877372021
2015-04-16,-0.0022533287024730855,0.009235145446333526,0.02153521834171054,0.015796196323705547
2015-04-17,-0.0014060725786774904,-0.0014806703485050754,0.02012914576303305,0.014315525975200472
2015-04-20,-0.0037344447403712803,0.00508751770141469,0.01639470102266177,0.01940304367661516
2015-04-21,-0.002978561543393275,0.002357729748192483,0.013416139479268493,0.021760773424807645
2015-04-22,0.007823273969747845,0.00225279588060201,0.021239413449016337,0.024013569305409654
2015-04-23,0.00321192052600479,-0.004141304912428145,0.024451333975021125,0.01987226439298151
2015-04-24,0.0004928344479278549,0.0027691899171140566,0.02494416842294898,0.022641454310095566
2015-04-27,0.0015253941152217401,-0.003740377158637509,0.026469562538170722,0.018901077151458057
2015-04-28,-0.0028586470405583047,-0.010128865367728945,0.023610915497612416,0.008772211783729111
2015-04-29,0.00301945663434327,0.010922987662490113,0.026630372131955685,0.019695199446219225
2015-04-30,0.0019382258630738802,0.0029407719051932624,0.028568597995029567,0.022635971351412487
2015-05-01,-0.00376847426820652,-0.011837369767650707,0.024800123726823046,0.01079860158376178
2015-05-04,-0.000857444693643775,-0.0044556966871822645,0.023942679033179273,0.006342904896579515
2015-05-05,0.0048004588130387054,0.0037737663149290945,0.02874313784621798,0.01011667121150861
2015-05-06,0.0007312736567540657,0.01345785440613012,0.029474411502972045,0.02357452561763873
2015-05-07,-0.0006560537703996199,-0.005089551533481451,0.028818357732572426,0.01848497408415728
2015-05-08,0.0019251701711534854,-0.002949656348410934,0.03074352790372591,0.015535317735746346
2015-05-11,0.0013537272648566651,-0.00030488966805131135,0.03209725516858258,0.015230428067695034
2015-05-12,-0.00298536097430067,0.010779230681254859,0.029111894194281906,0.026009658748949893
2015-05-13,-0.000158257406952956,0.0007684691905143204,0.02895363678732895,0.026778127939464214
2015-05-14,-0.0008013793325333306,0.003047961822747025,0.028152257454795618,0.02982608976221124
2015-05-15,-0.0028241261908406802,-0.0006434341536727395,0.025328131263954938,0.0291826556085385
2015-05-18,-0.00026290995235568506,-0.0009305254649102368,0.025065221311599252,0.028252130143628262
2015-05-19,-0.0024554695977003853,0.002337888374062347,0.022609751713898868,0.03059001851769061
2015-05-20,-0.0010052892834529399,-0.0022338817919862475,0.021604462430445927,0.02835613672570436
2015-05-21,-0.0009789291579760048,-0.01028192995494015,0.020625533272469923,0.018074206770764212
2015-05-22,-0.003522488272333995,0.00916262712669913,0.017103045000135927,0.02723683389746334
2015-05-26,0.00193560849954957,-0.0012667884792887385,0.019038653499685497,0.025970045418174603
2015-05-27,0.0029557118896548704,-0.006318400218786491,0.021994365389340367,0.019651645199388112
2015-05-28,0.002129113216568335,0.0020594194714789182,0.024123478605908702,0.02171106467086703
2015-05-29,0.002893575585885905,-0.0010086516742198182,0.027017054191794607,0.020702412996647213
2015-06-01,0.0024292781514748804,0.0021188850967008843,0.029446332343269488,0.022821298093348097
2015-06-02,0.006005402209471765,-0.008623177094419732,0.035451734552741254,0.014198120998928365
2015-06-03,-0.0022251285963934358,-0.0014361783342240475,0.03322660595634782,0.012761942664704318
2015-06-04,-0.0010875098326798747,-0.00647448669982742,0.03213909612366794,0.006287455964876898
2015-06-05,-0.001943387554657695,0.00041841406640763523,0.030195708569010247,0.006705870031284533
2015-06-08,-0.004726113171269105,0.012042400788404573,0.025469595397741143,0.018748270819689106
2015-06-09,-0.0006875242328256799,0.001738552156564932,0.024782071164915462,0.020486822976254038
2015-06-10,0.004056937759816591,-0.006994300238043261,0.028839008924732054,0.013492522738210777
2015-06-11,0.0010105007900131052,-0.004622488789987278,0.02984950971474516,0.008870033948223499
2015-06-12,0.00022111349715410998,0.005689804886707783,0.03007062321189927,0.014559838834931282
2015-06-15,0.00045672364176173005,0.001979687924857698,0.030527346853661,0.01653952675978898
2015-06-16,0.0013586565554968004,0.009902687056045245,0.0318860034091578,0.026442213815834226
2015-06-17,0.0043756418323353105,-0.005303501725405946,0.03626164524149311,0.02113871209042828
2015-06-18,0.0017720739218121356,0.006094815615239835,0.038033719163305245,0.027233527705668115
